Date,Open,High,Low,Close,Adj Close,Volume
4/19/2018,46.990002,47.110001,46.700001,46.82,42.953125,8563200
4/20/2018,46.470001,46.619999,45.98,46.23,42.41185,15675600
4/23/2018,46.380001,46.470001,45.720001,45.799999,42.017372,14904400
4/24/2018,45.93,46.369999,45.279999,45.529999,41.769676,13357000
4/25/2018,45.419998,45.84,45.049999,45.75,41.971489,12637500
4/26/2018,46.09,46.209999,45.900002,45.959999,42.164154,12175800
4/27/2018,46.119999,46.119999,45.470001,45.529999,41.769676,14420800
4/30/2018,45.66,46.02,45.560001,45.669998,41.898098,13896600
5/1/2018,45.389999,45.950001,45.389999,45.950001,42.154987,8838000
5/2/2018,45.889999,46.080002,45.470001,45.509998,41.751308,10715200
5/3/2018,45.360001,45.389999,44.490002,45.060001,41.338482,15370200
5/4/2018,44.93,45.919998,44.799999,45.709999,41.934799,10571800
5/7/2018,45.939999,46.240002,45.779999,46.07,42.265064,9006000
5/8/2018,45.880001,45.990002,45.549999,45.939999,42.145805,9830600
5/9/2018,46.23,46.68,45.98,46.580002,42.732948,11822400
5/10/2018,46.799999,47.099998,46.610001,46.93,43.054035,10974200
5/11/2018,47.110001,47.150002,46.639999,46.82,42.953125,9498100
5/14/2018,46.810001,47.259998,46.689999,46.82,42.953125,9689500
5/15/2018,46.509998,46.82,46.25,46.810001,42.943954,11304900
5/16/2018,46.93,46.93,46.450001,46.73,42.870556,9874200
5/17/2018,46.689999,47.060001,46.419998,46.540001,42.696259,10162300
5/18/2018,46.689999,46.790001,46.240002,46.32,42.494415,13517300
5/21/2018,46.529999,47.290001,46.490002,47.209999,43.310913,13416300
5/22/2018,47.240002,47.540001,46.310001,46.369999,42.540295,18505100
5/23/2018,46.080002,46.970001,46.02,46.900002,43.026516,9204400
5/24/2018,46.66,46.939999,46.139999,46.459999,42.622856,12497700
5/25/2018,46.490002,47.169998,46.48,47,43.118263,11354300
5/29/2018,46.549999,46.799999,46.040001,46.259998,42.439369,12427800
5/30/2018,46.630001,47.23,46.43,47.049999,43.164127,11906500
5/31/2018,46.93,47.169998,46.709999,46.720001,42.861382,13062400
6/1/2018,47.080002,47.360001,46.900002,47.349998,43.43935,10863200
6/4/2018,47.48,47.57,47.23,47.32,43.411831,12178400
6/5/2018,47.330002,47.419998,46.810001,47.130001,43.237526,13430900
6/6/2018,47.419998,47.810001,47.099998,47.75,43.806324,13299100
6/7/2018,47.93,48.029999,47.419998,47.68,43.742096,13714100
6/8/2018,47.41,48.380001,47.41,48.18,44.200798,14515400
6/11/2018,48.150002,48.389999,47.970001,48.189999,44.209976,12521100
6/12/2018,48.209999,48.59,48.16,48.450001,44.448502,14713600
6/13/2018,48.110001,48.669998,48.09,48.27,44.283367,18053300
6/14/2018,47.009998,47.02,45.66,45.900002,42.109108,37001300
6/15/2018,45.869999,46.490002,45.189999,46.279999,42.457718,28120400
6/18/2018,45.82,46.599998,45.459999,46.52,42.677906,21474100
6/19/2018,45.84,46.41,45.77,46.27,42.448555,22764900
6/20/2018,43.509998,44.790001,42.57,42.82,39.283501,59129000
6/21/2018,43.18,43.84,42.98,43.099998,39.540359,32635100
6/22/2018,43.200001,44.299999,43.16,44.099998,40.457764,29735100
6/25/2018,43.57,44.470001,43.490002,44.279999,40.622902,24640500
6/26/2018,44.459999,44.849998,44.369999,44.41,40.742176,20717500
6/27/2018,44.57,44.740002,43.439999,43.450001,39.861458,26360100
6/28/2018,43.509998,44.02,43.360001,43.84,40.21925,20918400
6/29/2018,44.040001,44.529999,43.75,44.060001,40.421074,22144900
7/2/2018,43.959999,44.970001,43.77,44.950001,41.237576,20655500
7/3/2018,44.990002,44.990002,44.52,44.720001,41.026577,16783300
7/5/2018,45.150002,45.470001,44.990002,45.41,41.659576,21916200
7/6/2018,45.459999,46.189999,45.27,46,42.200851,20764300
7/9/2018,46.130001,46.790001,46.060001,46.73,42.870556,25125700
7/10/2018,46.830002,47.360001,46.68,46.990002,43.109085,27422000
7/11/2018,46.82,47.759998,46.709999,47.639999,43.705395,22802600
7/12/2018,47.790001,48.200001,47.75,48.150002,44.173283,24857900
7/13/2018,47.970001,48.810001,47.830002,48.630001,44.613644,25771400
7/16/2018,48.619999,48.619999,47.950001,48.459999,44.632061,22949600
7/17/2018,48.290001,48.990002,48.150002,48.900002,45.037296,18823100
7/18/2018,48.790001,49,48.400002,48.639999,44.797832,19234700
